znak;znakRank;komb;je OK;ni OK
E008;1;0307+0307;;
E00B;1;0301+0301;;
E00E;1;030D+030D;;
E00F;1;0302+0302;;
E024;1;0323+0323;;
E033;1;0331+0331;;
E03F;1;0304+0304;;
E048;1;0329+0329;;
E04C;1;0303+0303;;
E052;1;0352;;
E0AA;1;0328+0328;;
E0BA;1;20D2+20D2;;
E0BB;1;0335+0335;;
E0BD;1;0337+0337;;
E106;1;004F+20D2;;x
E114;1;0053+0337;X;
E115;1;0073+0337;;x
E133;1;006D+0321;;X
E138;1;0266+0335;;X
E139;1;0267+0335;;X
E192;1;0023+0309;??;
E1F1;1;0023+030F;;x
E1F2;1;0023+0311;;
E1F3;1;0023+0339;;X
E1F4;1;0023+0306+0306;;X
E1F5;1;0023+030D;;X
E1F6;1;0023+0304+0301;;x
E1F7;1;0023+0306+0301;;x
E203;1;2013+0300;X;
E205;1;00D7+0300;;x
E206;1;2013+0301;x;
E208;1;00D7+0301;X;
E20D;1;2013+030F;;
E20E;1;2013+0311;X;
E21F;1;002B+0311;X;
E220;1;002D+0300;x;
E221;1;002D+0301;X;
E222;1;002D+030F;;x
E223;1;002D+0311;X;
E231;1;0030+0335;;X
E234;1;0030+0337;;x
E235;1;0030+20E5;X;
E242;1;2190+0337+0337;;X
E244;1;2192+0337+0337;;X
E247;1;007E+0308;X;
E248;1;007E+0300;X;
E249;1;007E+0301;X;
E24A;1;007E+030D;x;
E24B;1;2013+030D;x;
E24C;1;007E+0307;x;
E24D;1;2013+1DC4;;X
E250;1;2E35;X;
E254;1;27EA;X;
E255;1;27EB;X;
E269;1;2013+20EB;x;
E269;2;2013+0337+0337;;X
E27C;1;2013+0324+0308;;X
E280;1;003D+20D2;;X
E281;1;003D+20E6;;X
E28B;1;002B+20DD;X;
E28C;1;00B1+20DD;;x
E28D;1;2248+20DD;X;
E28E;1;002F+20DD;;x
E28F;1;2192+20DD;;x
E2AA;1;002D+030D;X;
E2AB;1;00D7+20DE;;x
E2B3;1;00D7+0316;X;
E2B4;1;00D7+0317;;X
E2B5;1;00D7+032D;;X
E2B6;1;00D7+0323;;x
E2B7;1;00D7+030D;X;
E2B8;1;00D7+0329;;X
E300;1;1EA1+0300;X;
E300;100;0061+0323+0300;X;
E301;1;1E01+0300;;x
E301;100;0061+0325+0300;;x
E302;1;0105+0325+0300;;X
E302;100;0061+0328+0325+0300;;x
E303;1;0105+0300;;x
E303;100;0061+0328+0300;X;
E304;1;1EA1+0301;x;
E304;100;0061+0323+0301;X;
E305;1;1E01+0301;x;
E305;100;0061+0325+0301;X;
E306;1;0105+0325+0301;x;
E306;100;0061+0328+0325+0301;X;
E307;1;0105+0301;x;
E307;100;0061+0328+0301;;x
E308;1;00E3+0300;;X
E308;100;0061+0303+0300;;X
E309;1;00E3+0301;;x
E309;100;0061+0303+0301;;X
E30A;1;1EA1+0303;X;
E30A;100;0061+0323+0303;X;
E30B;1;1E01+0303;x;
E30B;100;0061+0325+0303;X;
E30C;1;0105+0303;x;
E30C;100;0061+0328+0303;X;
E30D;1;0101+0300;X;
